files_folders;ferme;servers
NAS 10.3.1.3;fermerds-1;vdcacom1
Utilitaires TIPSO;fermerds-2;vdcacom2
UPDDC1;fermerds-3;vdivacom1
UPDDC2;fermerds-4;vdivacom2
Assistance;fermerds-5;vdivacom3
FTP_Numerisations;fermerds-6;vdivacom4
";";fermerds-7;vdivacom5
;fermerds-8;vdivacom6
;fermerds-9;vdivacom7
;fermerds-10;vdivacom8
;fermerds-11;vdivacom9
;fermerds-12;vdivacom10
;fermerds-13;vdivacom11
;fermerds-14;vdivacom12
;fermerds-15;vdivacom13
;fermerds-16;vtseacom1
;fermerds-17;vtseacom2
;fermerds-18;vtseacom3
;";";vtseacom4
;;vtseacom5
;;vtseacom6
;;vtseacom7
;;vtseacom8
;;vtseacom9
;;vtseacom10
;;vtseacom11
;;vtseacom12
;;vtseacom13
;;vtseacom14
;;vtseacom15
;;vtseacom16
;;vtseacom17
;;vtseacom18
;;vtseacom19
;;vtseacom20
;;vtseacom21
;;vtseacom22
;;vtseacom23
;;vtseacom24
;;vtseacom25
;;vtseacom26
;;vtseacom27
;;vtseacom28
;;vtseacom29
;;vtseacom30
;;vtseacom31
;;vtseacom32
;;vtseacom33
;;vtseacom34
;;vtseacom35
;;vtseacom36
;;vtseacom37
;;vtseacom38
;;vtseacom39
;;vtseacom40
;;vtseacom41
;;vtseacom42
;;vtseacom43
;;vtseacom44
;;vtseacom45
;;vtseacom46
;;vtseacom47
;;vtseacom48
;;vtseacom49
;;vtseacom50
;;vtseacom51
;;vtseacom52
;;vtseacom53
;;vtseacom54
;;vtseacom55
